source,target,relation
Route 53,CloudFront (web/app CDN),unidirectional
Route 53,CloudFront (video CDN),unidirectional
CloudFront (web/app CDN),AWS WAF,unidirectional
AWS WAF,ALB (web),unidirectional
CloudFront (video CDN),ALB (API),unidirectional
ALB (web),ECS Service (web frontend),unidirectional
ALB (API),API Gateway (public API),unidirectional
API Gateway (public API),ECS Service (auth service),unidirectional
API Gateway (public API),ECS Service (user profile service),unidirectional
API Gateway (public API),ECS Service (catalog service),unidirectional
API Gateway (public API),ECS Service (search service),unidirectional
API Gateway (public API),ECS Service (recommendation service),unidirectional
API Gateway (public API),ECS Service (playback session service),unidirectional
API Gateway (public API),ECS Service (billing service),unidirectional
API Gateway (public API),ECS Service (subscription service),unidirectional
API Gateway (public API),ECS Service (notification service),unidirectional
API Gateway (public API),ECS Service (download service),unidirectional
ECS Service (auth service),Cognito (user pool),unidirectional
Cognito (user pool),RDS (user accounts DB),unidirectional
ECS Service (auth service),DynamoDB (session store),unidirectional
ECS Service (auth service),Redis (session cache),unidirectional
ECS Service (user profile service),RDS (user accounts DB),unidirectional
ECS Service (user profile service),DynamoDB (session store),unidirectional
ECS Service (user profile service),Redis (session cache),unidirectional
ECS Service (catalog service),Aurora (catalog DB),unidirectional
ECS Service (catalog service),OpenSearch (search index),unidirectional
ECS Service (search service),OpenSearch (search index),unidirectional
ECS Service (search service),Redis (web cache),unidirectional
ECS Service (recommendation service),SageMaker Endpoint (reco model),unidirectional
ECS Service (recommendation service),S3 (feature store),unidirectional
ECS Service (recommendation service),DynamoDB (user features),unidirectional
ECS Service (experiment service),Redshift (analytics warehouse),unidirectional
Redshift (analytics warehouse),ECS Service (experiment service),unidirectional
ECS Service (experiment service),ECS Service (recommendation service),unidirectional
ECS Service (playback session service),DynamoDB (playback state),unidirectional
ECS Service (playback session service),DynamoDB (session store),unidirectional
ECS Service (streaming control service),DynamoDB (playback state),unidirectional
ECS Service (streaming control service),S3 (encoded assets),unidirectional
ECS Service (download service),S3 (encoded assets),unidirectional
ECS Service (download service),S3 (thumbnails),unidirectional
CloudFront (video CDN),S3 (encoded assets),unidirectional
CloudFront (web/app CDN),S3 (thumbnails),unidirectional
ECS Service (device registry service),DynamoDB (device registry),unidirectional
ECS Service (device registry service),DynamoDB (session store),unidirectional
ECS Service (billing service),RDS (billing DB),unidirectional
